GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US040130101011,040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",1738,356,907,211,6,10,73,59,91,45,12,19,0,13,0,13,21,35,21,35,16,26,54,72,6,9,110,74,203,101,72,50,58,46,23,38,21,24,29,34,12,19,14,22,16,25,0,13,49,74,831,174,38,54,41,32,58,52,52,51,0,13,19,33,0,13,0,13,71,83,18,23,16,25,122,62,117,75,147,101,62,41,30,50,14,23,12,19,0,13,14,22,0,13,0,13,0,13
1500000US040130101012,040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",2099,514,1062,306,112,149,86,80,59,49,5,8,0,13,0,13,0,13,0,13,0,13,42,67,32,36,42,46,74,68,92,92,51,64,12,19,50,40,85,86,94,69,81,60,93,53,52,50,0,13,1037,277,56,61,25,29,64,52,108,171,0,13,0,13,0,13,0,13,16,25,43,69,111,109,30,27,56,50,51,41,106,89,53,51,12,21,128,95,8,13,63,49,67,47,40,46,0,13
1500000US040130101013,040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",1196,444,653,297,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,102,159,29,47,0,13,0,13,71,112,0,13,0,13,0,13,33,39,25,31,94,65,66,45,58,47,82,56,93,79,543,175,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,106,115,33,37,16,24,35,40,14,24,36,35,28,32,30,34,137,74,108,67
1500000US040130101021,040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",625,285,364,157,0,13,0,13,0,13,13,21,0,13,4,13,16,26,5,13,0,13,53,85,2,6,0,13,0,13,25,27,64,40,39,36,31,35,94,126,15,32,3,6,0,13,0,13,0,13,261,141,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,31,70,53,46,41,89,126,30,41,0,13,0,13,0,13,0,13,0,13,0,13
1500000US040130101022,040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",2308,420,1227,217,0,13,97,26,98,27,30,78,0,13,0,13,0,13,0,13,0,13,0,13,11,18,109,34,61,58,169,114,72,53,64,48,166,126,56,50,104,120,131,160,59,50,0,13,0,13,1081,211,0,13,97,27,0,13,23,39,0,13,0,13,0,13,0,13,0,13,0,13,29,34,104,30,91,90,99,66,171,115,182,134,61,51,36,41,18,28,151,161,19,30,0,13,0,13
1500000US040130101023,040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",1555,350,733,183,19,30,0,13,0,13,0,13,0,13,0,13,0,13,17,27,0,13,0,13,7,13,15,23,0,13,30,34,41,44,47,41,108,70,66,53,95,95,127,88,47,45,114,96,0,13,822,184,0,13,0,13,0,13,0,13,0,13,0,13,0,13,59,72,0,13,7,12,0,13,17,27,15,24,91,61,139,72,48,44,81,61,32,35,80,92,186,112,52,47,0,13,15,24
1500000US040130304011,040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",1341,331,643,169,0,13,12,21,11,22,0,13,2,5,0,13,0,13,25,37,0,13,42,67,0,13,41,66,87,87,48,46,2,5,20,32,20,33,62,50,82,81,111,104,17,27,61,73,0,13,698,184,0,13,12,19,12,20,0,13,0,13,0,13,0,13,0,13,61,95,0,13,0,13,7,16,70,58,85,85,108,118,64,78,36,40,55,50,34,40,105,100,42,71,0,13,7,16
1500000US040130304012,040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",1373,419,731,247,62,79,0,13,0,13,0,13,57,91,0,13,0,13,0,13,0,13,0,13,62,88,0,13,109,106,0,13,92,107,93,104,17,27,42,69,80,86,82,94,35,38,0,13,0,13,642,216,10,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,48,72,62,98,10,22,51,82,0,13,93,102,0,13,29,36,89,99,86,96,37,44,16,26,17,27,34,51,60,74
1500000US040130304013,040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",933,222,503,120,21,34,15,23,13,20,7,10,7,11,0,13,0,13,0,13,0,13,21,34,0,13,14,22,42,48,0,13,58,46,0,13,39,60,13,22,15,23,90,60,50,46,83,72,15,24,430,117,0,13,18,31,0,13,15,22,0,13,0,13,0,13,0,13,0,13,19,31,17,28,14,21,20,24,18,29,13,22,0,13,69,68,0,13,87,66,112,72,15,24,13,20,0,13
