Id2,Estimate; Male: - 0 to 5 years,Estimate; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Estimate; Male: - 15 to 19 years,Estimate; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Estimate; Male: - 60 to 64 years,Estimate; Male: - 65 to 69 years,Estimate; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Estimate; Male: - 85 years to and above,Estimate; Female: - 0 to 5 years,Estimate; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Estimate; Female: - 15 to 19 years,Estimate; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Estimate; Female: - 60 to 64 years,Estimate; Female: - 65 to 69 years,Estimate; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Estimate; Female: - 85 years to and above
40130101011,6,73,91,12,42,16,54,6,110,203,72,58,44,41,14,16,0,49,38,41,58,52,19,71,18,16,122,117,147,62,44,12,14,0,0,0
40130101012,112,86,59,5,0,0,42,32,42,74,92,51,62,179,81,93,52,0,56,25,64,108,0,16,43,111,30,56,51,106,65,136,63,67,40,0
40130101013,0,0,0,0,0,102,29,0,0,71,0,0,33,119,66,58,82,93,0,0,0,0,0,0,0,0,0,0,106,33,51,50,28,30,137,108
40130101021,0,0,0,13,25,0,53,2,0,0,25,64,70,109,3,0,0,0,0,0,0,0,0,0,0,0,0,26,70,46,119,0,0,0,0,0
40130101022,0,97,98,30,0,0,0,11,109,61,169,72,230,160,131,59,0,0,0,97,0,23,0,0,0,29,104,91,99,171,243,54,151,19,0,0
40130101023,19,0,0,0,17,0,0,7,15,0,30,41,155,161,127,47,114,0,0,0,0,0,59,0,7,0,17,15,91,139,129,112,186,52,0,15
40130304011,0,12,11,2,25,0,42,0,41,87,48,2,40,144,111,17,61,0,0,12,12,0,0,61,0,0,7,70,85,108,100,89,105,42,0,7
40130304012,62,0,0,57,0,0,0,62,0,109,0,92,110,122,82,35,0,0,10,0,0,0,0,48,62,10,51,0,93,0,118,123,16,17,34,60
40130304013,21,15,13,14,0,0,21,0,14,42,0,58,39,28,90,50,83,15,0,18,0,15,0,0,19,17,14,20,18,13,69,87,112,15,13,0
40130304021,0,0,0,0,0,0,0,0,32,0,16,22,38,32,29,0,14,12,0,0,0,8,13,0,0,31,0,33,48,8,8,28,16,0,26,0
40130304022,0,10,38,44,0,28,40,19,0,7,35,136,64,111,74,27,41,9,40,8,0,16,0,21,19,17,13,40,64,166,48,163,36,35,8,24
40130304023,64,47,76,69,26,18,49,73,85,84,22,149,103,22,20,17,8,0,68,25,52,152,0,3,0,97,104,98,101,57,201,28,13,17,0,13
40130405021,13,0,0,0,29,0,0,53,35,0,0,11,12,0,58,13,0,0,0,0,0,0,40,16,0,0,0,0,12,24,22,0,13,0,0,3
40130405022,49,14,0,38,38,33,13,0,61,13,28,17,10,20,14,0,0,0,0,0,10,106,22,46,0,36,0,0,43,0,23,46,15,0,0,0
40130405023,110,132,18,16,4,104,53,19,33,122,175,28,159,69,41,52,52,62,121,118,21,70,22,178,68,0,96,125,36,88,120,39,52,92,104,92
40130405024,0,80,114,9,23,0,14,17,52,95,14,83,19,31,43,61,33,40,0,66,28,0,0,0,63,0,0,85,87,81,50,124,39,59,27,0
40130405061,0,0,0,0,0,0,0,0,0,142,13,43,47,142,154,131,133,139,0,0,0,0,0,0,0,0,0,0,100,26,101,90,146,265,166,291
40130405062,0,0,0,0,0,0,0,0,0,0,70,31,13,70,147,46,47,90,0,0,0,0,0,0,0,0,20,0,0,46,37,162,99,32,202,79
40130405063,0,0,0,0,0,0,0,29,0,0,24,0,64,15,127,30,25,116,0,0,0,0,26,0,0,28,0,17,0,17,83,88,87,42,73,62
40130405064,0,0,0,2,2,0,0,0,0,1,0,0,108,100,117,88,44,49,0,0,0,0,0,0,0,0,0,6,0,47,105,103,122,64,63,33
40130405071,0,0,0,0,0,10,20,0,0,38,52,33,65,135,92,109,54,132,0,0,0,0,0,0,0,0,0,0,15,49,96,78,53,154,159,144
40130405072,0,0,0,0,0,0,0,0,0,0,13,16,36,97,135,145,129,299,0,0,0,0,14,0,18,40,0,0,25,16,118,125,182,196,366,580
40130405073,0,0,0,0,0,0,0,0,0,0,0,0,21,89,28,25,39,73,0,0,0,0,0,0,0,0,0,11,15,0,108,0,85,11,74,103
40130405074,0,0,0,0,0,0,0,0,0,0,0,43,29,121,49,68,38,0,0,0,0,0,0,0,23,0,0,0,0,46,83,80,118,14,58,14
40130405075,0,0,0,0,0,0,0,0,0,20,4,2,30,16,28,127,122,47,0,0,0,0,0,0,0,0,0,0,2,2,14,18,94,138,148,55
40130405121,0,0,0,6,0,0,0,0,0,8,0,13,23,21,198,125,157,141,0,0,0,0,0,0,0,0,0,8,0,11,55,197,148,223,131,158
40130405131,0,0,0,0,0,0,0,0,0,0,10,20,99,82,94,95,85,66,0,0,0,0,0,0,0,0,0,0,0,33,104,149,86,136,90,72
40130405132,0,0,0,0,0,0,0,0,0,17,0,24,21,96,189,251,176,93,0,0,0,0,0,0,0,0,0,7,0,34,67,124,212,209,177,60
40130405141,0,0,0,0,0,0,0,0,0,0,0,14,18,115,168,160,121,84,0,0,0,0,0,0,0,0,0,0,9,14,61,268,170,107,142,174
40130405142,0,0,0,0,13,0,0,0,0,0,0,16,14,120,128,76,145,37,0,0,0,0,0,22,0,0,0,0,0,119,92,58,168,138,94,61
40130405151,14,97,39,11,74,72,47,43,59,0,103,144,17,122,141,54,158,54,20,29,42,57,49,61,17,42,32,43,107,56,102,148,116,62,99,16
40130405152,11,0,41,54,4,0,15,66,73,137,48,74,115,155,101,22,55,38,16,6,33,0,0,0,26,20,89,48,171,58,135,100,81,0,47,29
40130405161,20,42,37,0,0,0,0,29,0,13,28,31,59,0,0,22,0,0,4,0,0,9,7,18,18,30,5,28,7,23,34,12,8,13,0,0
40130405162,11,49,10,0,0,12,30,52,35,8,25,33,286,295,106,45,23,0,6,15,49,20,0,13,40,23,20,14,96,143,254,286,113,49,0,14
40130405171,161,65,94,16,45,104,26,76,76,85,65,125,96,50,71,28,6,3,184,154,220,63,183,90,128,27,184,78,168,108,81,18,80,87,23,53
40130405172,129,106,188,267,85,65,167,165,92,139,73,33,184,151,75,27,19,0,214,128,107,66,33,46,219,128,200,116,40,87,105,100,74,0,0,0
40130405181,68,95,79,0,12,26,67,71,12,5,34,66,97,47,84,31,36,13,96,103,81,17,0,39,113,19,12,43,8,35,119,78,32,27,5,12
40130405182,126,35,19,98,30,0,33,0,37,89,94,94,90,105,11,0,14,0,28,0,138,41,56,33,42,91,91,126,49,180,80,0,24,0,14,0
40130405183,84,35,17,78,33,72,0,120,12,67,16,10,34,52,28,9,15,0,142,17,134,0,92,160,22,0,21,61,16,46,27,51,0,0,0,14
40130405184,271,152,37,0,47,17,166,138,42,0,0,0,0,15,0,0,0,0,158,56,190,131,34,100,129,136,0,8,0,0,15,0,0,0,0,0
40130405185,0,14,30,15,0,0,0,14,0,0,30,115,0,14,17,0,7,0,0,0,0,30,0,0,0,28,0,36,16,0,10,0,19,0,8,0
40130405191,69,168,39,39,0,64,56,59,91,8,9,108,126,52,64,25,26,0,196,158,11,0,0,18,65,123,37,8,10,138,103,38,33,36,21,0
