GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US040130101011,040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",1738,356,1696,364,0,13,0,13,23,27,0,13,0,13,19,33,0,13,19,33
1500000US040130101012,040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",2099,514,1999,523,0,13,0,13,12,20,0,13,57,80,31,50,0,13,31,50
1500000US040130101013,040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",1196,444,1196,444,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US040130101021,040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",625,285,539,296,2,6,0,13,0,13,0,13,0,13,84,97,31,50,53,85
1500000US040130101022,040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",2308,420,2196,421,0,13,28,74,54,67,0,13,0,13,30,78,0,13,30,78
1500000US040130101023,040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",1555,350,1498,342,0,13,0,13,22,28,0,13,0,13,35,40,17,27,18,30
1500000US040130304011,040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",1341,331,1339,331,0,13,0,13,0,13,0,13,2,5,0,13,0,13,0,13
1500000US040130304012,040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",1373,419,1373,419,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US040130304013,040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",933,222,854,212,0,13,0,13,79,130,0,13,0,13,0,13,0,13,0,13
1500000US040130304021,040130304021,"Block Group 1, Census Tract 304.02, Maricopa County, Arizona",414,169,364,161,0,13,23,36,0,13,0,13,11,17,16,26,0,13,16,26
1500000US040130304022,040130304022,"Block Group 2, Census Tract 304.02, Maricopa County, Arizona",1401,331,1344,323,15,26,23,29,0,13,0,13,0,13,19,30,0,13,19,30
1500000US040130304023,040130304023,"Block Group 3, Census Tract 304.02, Maricopa County, Arizona",1961,391,1751,363,0,13,0,13,87,137,0,13,79,78,44,46,0,13,44,46
