Id,Id2,Geography,Total,MoE Total," Less than $10,000","MoE Less than $10,000"," $10,000 to $14,999","MoE $10,000 to $14,999"," $15,000 to $19,999","MoE $15,000 to $19,999"," $20,000 to $24,999","MoE $20,000 to $24,999"," $25,000 to $29,999","MoE $25,000 to $29,999"," $30,000 to $34,999","MoE $30,000 to $34,999"," $35,000 to $39,999","MoE $35,000 to $39,999"," $40,000 to $44,999","MoE $40,000 to $44,999"," $45,000 to $49,999","MoE $45,000 to $49,999"," $50,000 to $59,999","MoE $50,000 to $59,999"," $60,000 to $74,999","MoE $60,000 to $74,999"," $75,000 to $99,999","MoE $75,000 to $99,999"," $100,000 to $124,999","MoE $100,000 to $124,999"," $125,000 to $149,999","MoE $125,000 to $149,999"," $150,000 to $199,999","MoE $150,000 to $199,999"," $200,000 or more","MoE $200,000 or more"
1500000US040130101011,40130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",621,118,16,26,0,13,0,13,14,23,0,13,0,13,0,13,0,13,10,17,73,70,11,18,120,76,74,63,37,29,130,75,136,76
1500000US040130101012,40130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",820,159,39,53,37,60,0,13,29,34,0,13,27,31,0,13,22,26,0,13,40,38,124,90,66,44,127,85,106,87,131,101,72,59
1500000US040130101013,40130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",616,171,29,33,35,40,16,26,15,24,33,39,28,31,0,13,26,32,0,13,80,74,0,13,27,23,66,57,108,117,62,49,91,52
1500000US040130101021,40130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",334,140,0,13,9,16,0,13,0,13,13,20,0,13,0,13,0,13,7,12,32,36,0,13,0,13,44,38,58,56,160,150,11,17
1500000US040130101022,40130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",995,211,0,13,91,118,0,13,18,28,18,29,0,13,0,13,18,29,10,15,0,13,80,67,79,57,165,71,157,161,174,102,185,135
1500000US040130101023,40130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",794,180,35,41,17,26,0,13,15,25,64,49,66,100,0,13,22,35,0,13,15,24,80,56,17,27,50,47,102,106,88,51,223,98
1500000US040130304011,40130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",681,171,41,65,44,70,42,71,0,13,0,13,64,81,0,13,0,13,0,13,54,64,12,21,116,89,116,85,38,45,63,77,91,76
1500000US040130304012,40130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",803,224,41,66,64,83,34,51,44,70,39,65,115,105,0,13,44,72,18,29,18,30,42,69,96,86,92,103,0,13,51,82,105,105
1500000US040130304013,40130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",432,109,0,13,31,36,0,13,0,13,15,24,0,13,0,13,16,25,0,13,16,26,30,34,32,35,96,75,18,25,82,52,96,67
1500000US040130304021,40130304021,"Block Group 1, Census Tract 304.02, Maricopa County, Arizona",193,81,16,26,18,28,0,13,0,13,15,23,0,13,0,13,0,13,0,13,24,28,24,27,8,13,16,26,45,56,0,13,27,34
